id,candidate,candidate_confidence,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,subject_matter_confidence,candidate_gold,name,relevant_yn_gold,retweet_count,sentiment_gold,subject_matter_gold,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
714,Scott Walker,1,yes,1,Negative,1,Abortion,1,,RedRoadRail,,20,,,RT @SpudLovr: Fetus dies in womb after 20 weeks? No D&amp;C for you. #ScottWalker16 thinks you should carry it full term. #GOPDebate,,8/7/15 9:48,6.29696E+17,Missouri & Florida Wisconsin,Mountain Time (US & Canada)
717,No candidate mentioned,0.4387,yes,0.6624,Neutral,0.6624,Abortion,0.4387,,Bound4LIFE,,1,,,"In-Depth Interview with Former Nurse @JillStanek on #PPSellsBabyParts Scandal: http://t.co/KVl3ydITDA 
#DefundPP #GOPDebate
@CtrMedProgress",,8/7/15 9:48,6.29696E+17,DC and Everywhere,Eastern Time (US & Canada)
731,No candidate mentioned,1,yes,1,Negative,1,Abortion,0.6573,,Jesus_Lori,,100,,,"RT @toddstarnes: Megyn Kelly: ""Would you really let a mother die rather than have an abortion?â€ù Are you freaking kidding me? #GOPDebate",,8/7/15 9:48,6.29696E+17,,Atlantic Time (Canada)
733,Marco Rubio,1,yes,1,Negative,0.6742,Abortion,1,,walk2free,,43,,,"RT @JillStanek: ""I think future generations will look back and call us barbarians for killing millions of babies."" ~@MarcoRubio #GOPDebate â€_",,8/7/15 9:48,6.29696E+17,USA,Central Time (US & Canada)
782,No candidate mentioned,0.4539,yes,0.6737,Negative,0.6737,Abortion,0.4539,,Notintheface1,,0,,,"The abortion portion of the #GOPDebate sure degenerated into one big ""Let Mommy Die"" Off, didn't it?",,8/7/15 9:48,6.29696E+17,,Central Time (US & Canada)
808,Scott Walker,0.4689,yes,0.6848,Negative,0.6848,Abortion,0.4689,,elvislver56,,12,,,RT @TheBaxterBean: Scott Walker Forces Women To Carry Rapistsâ€™ Pregnancies &amp; Let Men Sue Over Abortion #GOPDebate http://t.co/yziVIpQAnx @Bâ€_,,8/7/15 9:47,6.29695E+17,"Garden Grove, Ca",
818,No candidate mentioned,1,yes,1,Negative,1,Abortion,1,,joehudsonsmall,,1,,,"""Would you really let a mother die, rather than have an abortion?""
Was seriously being asked of a presidential hopeful in 2015. #GOPdebate",,8/7/15 9:47,6.29695E+17,"Worcester/Manchester, UK",London
864,No candidate mentioned,1,yes,1,Negative,0.6667,Abortion,0.6774,,pete_908,,0,,,"#GOPDebate why do politicians stick to the same old topics, pro-life, pro-choice? gay marriage. Let it go..These are personal choices!",,8/7/15 9:47,6.29695E+17,NY,Eastern Time (US & Canada)
890,Marco Rubio,1,yes,1,Negative,1,Abortion,0.3755,,elvislver56,,12,,,RT @TheBaxterBean: Marco Rubio: Constitutional Right To Choose Was 'Egregiously Flawed Decision' http://t.co/U63WRh7mXN #GOPDebate http://tâ€_,,8/7/15 9:47,6.29695E+17,"Garden Grove, Ca",
904,No candidate mentioned,1,yes,1,Negative,0.7021,Abortion,0.7021,,Living400lbs,,47,,,"RT @Elevat0rLady: Hopped on FB, and saw my friends recap of the #GOPDebate ... She wins. http://t.co/tpszBViD8O",,8/7/15 9:47,6.29695E+17,"Seattle, WA",Pacific Time (US & Canada)
915,No candidate mentioned,0.3923,yes,0.6264,Negative,0.6264,Abortion,0.3923,,secretrowbrina,,1753,,,"RT @feministabulous: If you ""hate abortion"" then you shouldn't defund Planned Parenthood because that's a surefire way to increase abortionâ€_",,8/7/15 9:47,6.29695E+17,rowbrina follows,
983,No candidate mentioned,1,yes,1,Negative,1,Abortion,0.3667,,alabamafan2,,0,,,It's real scary that liberals are allowed 2 walk around after committing horrific crimes against humanity. #GOPDebate  #PlannedButcherhood,,8/7/15 9:46,6.29695E+17,Georgia,Eastern Time (US & Canada)
1041,No candidate mentioned,1,yes,1,Negative,1,Abortion,1,,helloatzirysays,,51,,,RT @808s_n_cupcakes: Bruh RT @blowticious: Pro-life Republicans be like #GOPDebate http://t.co/dgu7yJ9IeX,,8/7/15 9:45,6.29695E+17,AL,Central Time (US & Canada)
1093,No candidate mentioned,0.6915,yes,1,Negative,1,Abortion,1,,itsonlymepc,,7,,,RT @emmaladyrose: Here's why it was so frustrating to watch the #GOPDebate as a woman http://t.co/xXcH8PXagF,,8/7/15 9:45,6.29695E+17,,
1103,Scott Walker,1,yes,1,Negative,1,Abortion,1,,KwanzaaKid,,13,,,"RT @jennpozner: #GOPDebate Q ""Would you really let a mother die rather than have an abortion?"" Scott Walker, straight-faced: ""I'm pro-life.â€_",,8/7/15 9:44,6.29695E+17,,
1127,No candidate mentioned,1,yes,1,Negative,1,Abortion,0.652,,Alli_Burton1,,0,,,Here's why it was so frustrating to watch the #GOPDebate as a woman http://t.co/Gd6rVBHz4P via @HuffPostWomen,,8/7/15 9:44,6.29695E+17,"Bellevue, WA",Arizona
1128,No candidate mentioned,1,yes,1,Negative,0.6667,Abortion,0.6667,,_sMallard,,1,,,RT @JeremyLHeath: I'm... is she saying she is regretting having the baby? That's kind of how this reads. #GOPDebate #tcot #prolife  https:/â€_,,8/7/15 9:44,6.29695E+17,Earth,Eastern Time (US & Canada)
1139,Scott Walker,1,yes,1,Negative,0.6092,Abortion,1,,dsouthwell13,,12,,,"RT @MichelleHux: #GOPDebate mod: would you really let a mother die rather than get an abortion?
Scott Walker: yes &amp; i defunded planned parâ€_",,8/7/15 9:44,6.29695E+17,,Pacific Time (US & Canada)
1162,Scott Walker,1,yes,1,Negative,1,Abortion,1,,BrittRic,,41,,,"RT @feministabulous: Scott Walker is so pro-life he didn't make an exception for rape, incest of life of the the mother for his 20-week aboâ€_",,8/7/15 9:44,6.29695E+17,North Coast // Wisconsin,Central Time (US & Canada)
1176,Mike Huckabee,0.6882,yes,1,Negative,1,Abortion,1,,diwareddy,,78,,,"RT @RubinReport: Hey Huckabee, you're not allowed to talk about science related to abortion when you don't believe in climate change. #GOPDâ€_",,8/7/15 9:44,6.29695E+17,"Houston, Texas, USA ",Hawaii
1188,Mike Huckabee,0.6608,yes,1,Positive,0.6608,Abortion,1,,mhfa16ok,,6,,,RT @GrannyT6: #ImWithHuck #GOPDebate #DNA defines a person. 5th &amp; 14th Amendments guarantee a person the #RightToLife #DontBackDown http://â€_,,8/7/15 9:44,6.29694E+17,Oklahoma,Eastern Time (US & Canada)
1202,No candidate mentioned,1,yes,1,Negative,1,Abortion,1,,McDebida,,0,,,"@bmangh Then the mutants at the 
Democrat abortion fest will thrill you. #GOPDebate",,8/7/15 9:43,6.29694E+17,Hollywood,Central Time (US & Canada)
1210,Marco Rubio,0.6977,yes,1,Negative,0.6977,Abortion,0.6977,,derekflynch,,0,,,#rubio mis-statement on abortion record will do him some harm among conservatives #GOPDebate,,8/7/15 9:43,6.29694E+17,,Dublin
1226,No candidate mentioned,0.4527,yes,0.6729,Negative,0.3476,Abortion,0.2339,,Sceddar,,26,,,RT @NARAL: .@BobbyJindal brags about how anti-choice his state is; @amprog report in 2013 said Louisiana was WORST state for women. #OwnIt â€_,,8/7/15 9:43,6.29694E+17,East LA aka East Lower Alabama,Central Time (US & Canada)
1230,Scott Walker,0.6629,yes,1,Negative,1,Abortion,0.6629,,jennpozner,,0,,,"#GOPDebate Such flailing&amp;whining about ""political correctness"" as a way to avoid answering any substantive Q on war/immigration/misogyny...",,8/7/15 9:43,6.29694E+17,"Brooklyn, NY",Eastern Time (US & Canada)
1339,Scott Walker,1,yes,1,Negative,1,Abortion,1,,cocopercoco,,653,,,"RT @fakedansavage: American Women: Scott Walker thinks your fetus should live, you should die. Rubio thinks you should bear your rapist's bâ€_",,8/7/15 9:42,6.29694E+17,,
1428,Donald Trump,0.681,yes,1,Negative,0.681,Abortion,0.6574,,AntarianRani,,0,,,â€œ@bennydiego: The unplanned parenthood. #foxnews #gopdebate http://t.co/C1fFLfYReuâ€ù,,8/7/15 9:41,6.29694E+17,Antar,Mountain Time (US & Canada)
1444,No candidate mentioned,1,yes,1,Negative,1,Abortion,0.3483,,magtell,,10,,,RT @GrnEyedMandy: There are grown ass adult women on the Right who seem to enjoy being treated like incompetent children. #PlannedParenthooâ€_,,8/7/15 9:41,6.29694E+17,Still Above Ground ,Pacific Time (US & Canada)
1447,No candidate mentioned,1,yes,1,Negative,1,Abortion,1,,not2hotnot2cold,,2,,,RT @Maliheh_: @GrnEyedMandy Conservatives drag their knocked up daughters for an abortion &amp;go right back to protesting against pp the next â€_,,8/7/15 9:41,6.29694E+17,#UniteBlue ,Eastern Time (US & Canada)
1458,Mike Huckabee,0.4277,yes,0.654,Neutral,0.3296,Abortion,0.4277,,Ash_Pask,,53,,,RT @Refinery29: Mike Huckabee thinks fetuses have more rights than pregnant women: http://t.co/aIMFf13KTM #GOPDebate http://t.co/2nFKmpCPu9,,8/7/15 9:41,6.29694E+17,NYC,Eastern Time (US & Canada)
1537,Donald Trump,0.241,yes,0.6778,Negative,0.6778,Abortion,0.241,,TrumpIssues,,0,,,"Leaders make tax-payers fund @Ppact even when it's against their beliefs, but Trump can't call a person a disgusting animal. #GOPDebate #PC",,8/7/15 9:40,6.29694E+17,United States Of America,Pacific Time (US & Canada)
1542,No candidate mentioned,1,yes,1,Negative,0.6742,Abortion,0.6742,,mimimiles,,1,,,"RT @MGA_MKII: 1 of the most important issues of our time, #climatechange, not a single word from R candidates, blathering abortion #GOPDebaâ€_",,8/7/15 9:40,6.29694E+17,  #mimimiles â–ª michigan,
1569,No candidate mentioned,1,yes,1,Negative,1,Abortion,1,,Maliheh_,,2,,,@GrnEyedMandy Conservatives drag their knocked up daughters for an abortion &amp;go right back to protesting against pp the next day #GOPDebate,,8/7/15 9:39,6.29693E+17,California,Pacific Time (US & Canada)
1611,No candidate mentioned,0.4401,yes,0.6634,Negative,0.6634,Abortion,0.4401,,Ruzbu,,5,,,RT @ItsShoBoy: #GOPDebate Reveals @GOP Candidatesâ€™s Terrifying Fantasies About #Abortion http://t.co/GYjq13nW35 #TNTVote #AINF #tlot #p2 #tâ€_,,8/7/15 9:39,6.29693E+17,"Cincinnati, OH",Arizona
1617,No candidate mentioned,1,yes,1,Negative,0.6735,Abortion,0.696,,taelornagle,,39,,,"RT @NTagouri: Some politicians are so obsessed w protecting rights of fetuses but care nothing about rights of ppl who are alive, strugglinâ€_",,8/7/15 9:39,6.29693E+17,"LI, NY â™êï¸è",Central Time (US & Canada)
1632,Donald Trump,0.4025,yes,0.6344,Negative,0.6344,Abortion,0.4025,,Zionistchuck,,17,,,RT @LilaGraceRose: .@megynkelly asks good question on track record of #pro-abortion position @realDonaldTrump. Answer: obfuscation from #Trâ€_,,8/7/15 9:39,6.29693E+17,"Phoenix, AZ",Pacific Time (US & Canada)
1639,No candidate mentioned,1,yes,1,Negative,1,Abortion,1,,JeremyLHeath,,1,,,I'm... is she saying she is regretting having the baby? That's kind of how this reads. #GOPDebate #tcot #prolife  https://t.co/cjy6PQrlS9,,8/7/15 9:39,6.29693E+17,"Evansville, IN",
1656,No candidate mentioned,0.4396,yes,0.663,Negative,0.663,Abortion,0.2306,,MehtaTag,,0,,,"@ESQPolitics ""Zygote Americans"" - the winingest takeaway of the winner of the #GOPDebate Thank you, Sir.",,8/7/15 9:38,6.29693E+17,Global (Phoenix for now),
1660,Ted Cruz,0.4444,yes,0.6667,Negative,0.6667,Abortion,0.4444,,jtkirklin,,31,,,RT @feministabulous: Ted Cruz thinks your birth control is an â€œabortion-inducing drugâ€ù  http://t.co/8O8FbzAfka #GOPDebate,,8/7/15 9:38,6.29693E+17,Reality ,Eastern Time (US & Canada)
1665,Donald Trump,1,yes,1,Negative,1,Abortion,1,,ArcaneSkin,,4,,,RT @speechboy71: Also losers and dummies RT @PeterBeinart: .@realDonaldTrump: only abort non-superstars #GOPDebate,,8/7/15 9:38,6.29693E+17,,Eastern Time (US & Canada)
1713,Donald Trump,1,yes,1,Positive,0.6387,Abortion,0.6586,,luchadora41,,1,,,Trump: â€˜I Wouldâ€™ Shut Down the Govâ€™t to Defund Planned Parenthood and Obamacare http://t.co/XiwhA8kjf7 Woot! #GOPDebate,,8/7/15 9:38,6.29693E+17,"San Diego, California",Pacific Time (US & Canada)
1720,No candidate mentioned,0.4253,yes,0.6522,Negative,0.3587,Abortion,0.4253,,MarlonArias33,,32,,,RT @operationrescue: Proaborts are afraid of Fiorina because she is articulate and smart and pro-life. A woman like that threatens them. #Gâ€_,,8/7/15 9:38,6.29693E+17,,
1739,Marco Rubio,0.6763,yes,1,Negative,0.6763,Abortion,1,,MarlonArias33,,157,,,"RT @LilaGraceRose: ""Generations will look back at us and call us barbarians."" @marcorubio talking about America's killing of preborn childrâ€_",,8/7/15 9:37,6.29693E+17,,
1750,No candidate mentioned,1,yes,1,Negative,1,Abortion,1,,jordin_leanne,,13,,,RT @lucyamorris: If GOP is so against all abortion (even in case of rape/incest) where is the support after the birth? Pro-birth =/= pro-liâ€_,,8/7/15 9:37,6.29693E+17,,Mountain Time (US & Canada)
1756,Marco Rubio,1,yes,1,Neutral,0.3518,Abortion,0.3518,,KimberleyMonari,,2,,,"RT @JillStanek: ""Iâ€™m not sure thatâ€™s a correct assessment of my record. I have never advocated that."" @marcorubio on rape/incest exception â€_",,8/7/15 9:37,6.29693E+17,"San Diego, CA",Pacific Time (US & Canada)
1820,No candidate mentioned,1,yes,1,Negative,1,Abortion,0.6595,,noduhasif,,0,,,My first executive order? Defund planned parenthood! Because that's the most important issue. Wtf. #GOPDebate,,8/7/15 9:37,6.29693E+17,,Arizona
1838,No candidate mentioned,1,yes,1,Negative,1,Abortion,0.6633,,2sense2,,4,,,"RT @pppatticake: . @jojokejohn @milesjreed @MikeLoBurgio @Astorix23 ""@HaroldItz: #GOPDebate Jr: New Graham slogan: ""I Can't Wait to Kill Yoâ€_",,8/7/15 9:37,6.29693E+17,USA ,Atlantic Time (Canada)
1955,Donald Trump,1,yes,1,Negative,0.6515,Abortion,1,,jeannetteeee12,,236,,,"RT @feministabulous: Trump can say ""I hate the concept of abortion"" because he'll NEVER NEED ONE. #GOPDebate",,8/7/15 9:35,6.29692E+17,"New York, USA",
2028,Marco Rubio,0.4422,yes,0.665,Neutral,0.665,Abortion,0.2451,,gidget2114,,19,,,"RT @LiveAction: .@MarcoRubio: ""I believe that every single human being is entitled to the protection of our laws, whether they can vote or â€_",,8/7/15 9:35,6.29692E+17,Texas,Eastern Time (US & Canada)
2046,Jeb Bush,1,yes,1,Negative,0.6699,Abortion,0.6699,,jamesKARATEpolk,,0,,,"""We were the first state to do a Choose Life license plate"" Yay! Does little Jeb want a gold star? Come and give mommy a hug!!! #GOPDebate",,8/7/15 9:34,6.29692E+17,,
2127,Mike Huckabee,1,yes,1,Neutral,1,Abortion,1,,gidget2114,,17,,,"RT @LiveAction: .@GovMikeHuckabee: ""We clearly know that that baby inside the motherâ€™s womb is a person at the moment of conception.â€ù #GOPDâ€_",,8/7/15 9:34,6.29692E+17,Texas,Eastern Time (US & Canada)
2185,Mike Huckabee,1,yes,1,Negative,0.6897,Abortion,1,,TweetaNLA,,4,,,"RT @Serf_: ""The military is about killing people...""
Huckabee is pro-life 
#GOPDebate http://t.co/NvipxIgND4",,8/7/15 9:33,6.29692E+17,"UnhollyWood, California",Pacific Time (US & Canada)
2265,Donald Trump,0.4444,yes,0.6667,Neutral,0.3333,Abortion,0.4444,,JustMe_Jessie,,268,,,RT @DamienFahey: You can really tell Donald Trump is pro-life because he refers to a child as â€œitâ€ù. #GOPDebate,,8/7/15 9:32,6.29692E+17,New York,Eastern Time (US & Canada)
2313,Mike Huckabee,1,yes,1,Positive,1,Abortion,1,,lquenga,,0,,,Some would see it as radical but I liked @GovMikeHuckabee idea of using 5th and 14th amendments to stop abortion #GOPDebate,,8/7/15 9:32,6.29691E+17,"San Bernardino, CA",
2382,No candidate mentioned,1,yes,1,Negative,1,Abortion,1,,GrnEyedMandy,,8,,,"Women who shame other women for having abortions deserve to be shamed for having no soul or self respect. 
#PlannedParenthood  #GOPDebate",,8/7/15 9:31,6.29691E+17,"Florida, Gun Nut Capital, USA ",Atlantic Time (Canada)
2392,No candidate mentioned,1,yes,1,Negative,1,Abortion,1,,solitaryspook,,84,,,"RT @meninistkiller: Hey, cis men: You will never have to be pregnant. You cannot judge people with vaginas on reasons they want abortions. â€_",,8/7/15 9:31,6.29691E+17,"Knoxville, TN",Eastern Time (US & Canada)
2402,No candidate mentioned,0.4495,yes,0.6705,Negative,0.6705,Abortion,0.4495,,BenJamminWalker,,7,,,"Under no circumstances should 10 men dictate abortion rights to women. It's the 21st Century, we are better than that. #GOPDebate",,8/7/15 9:31,6.29691E+17,Kent/London/Leeds,
2406,No candidate mentioned,1,yes,1,Negative,1,Abortion,0.6748,,Brittney0313,,1,,,RT @me_coleman612: I will never understand why rich white men think they can tell women what they can/can't do with their bodies #GOPDebateâ€_,,8/7/15 9:31,6.29691E+17,â€¢ stl â€¢ ,Central Time (US & Canada)
2439,No candidate mentioned,0.4401,yes,0.6634,Neutral,0.3366,Abortion,0.4401,,prolifefuture,,5,,,"RT @KristanHawkins: Lots of Reagan history lessons tonight on the #GOPDebate stage. Let's talk about our future, and our future without aboâ€_",,8/7/15 9:30,6.29691E+17,,
2500,Scott Walker,1,yes,1,Negative,1,Abortion,1,,Gina8_12,,0,,,#GOPDebate Gov.Walker being pro-life means pro EVERY life! When you develop a uterus then you can have an opinion!,,8/7/15 9:30,6.29691E+17,Greece,Athens
2507,No candidate mentioned,1,yes,1,Negative,1,Abortion,1,,MatthewTwihard,,0,,,Abortion rights are barbaric and need to go - we are killing American citizens! #GOPDebate #prolife #AbortionIsMurder #PlannedParenthood,,8/7/15 9:30,6.29691E+17,"Kenner,La",Central Time (US & Canada)
2529,No candidate mentioned,1,yes,1,Negative,1,Abortion,1,,SantoliDonato,,7,,,RT @cappy_yarbrough: Love to see men who will never be faced with a pregnancy talk about what I can do with my body âù_ï¸èâù_ï¸èâù_ï¸èâù_ï¸è #GOPDebate,,8/7/15 9:29,6.29691E+17,Como,
2531,No candidate mentioned,1,yes,1,Negative,0.6556,Abortion,1,,Hooplaoly,,5,,,RT @AngryBlackLady: Pretty sure I was just drunkenly yelling â€œABORTIONâ€ù at the screen at the New Parkway last night. #GOPDebate,,8/7/15 9:29,6.29691E+17,,Pacific Time (US & Canada)
2576,Marco Rubio,0.4771,yes,0.6907,Positive,0.6907,Abortion,0.4771,,kjcopp,,0,,,YES! MT @CNNPolitics: .@marcorubio takes a stand on abortion during the #GOPDebate http://t.co/8KAOnV4Kb7 http://t.co/fiQDbU1do2â€ù,,8/7/15 9:29,6.29691E+17,,Eastern Time (US & Canada)
